Territorialidade,Posicao IDHM 2010,IDHM 2010,Posicao IDHM Renda 2010,IDHM Renda 2010,Posicao IDHM Educacao 2010,IDHM Educacao 2010,Posicao IDHM Longevidade 2010,IDHM Longevidade 2010,Posicao IDHM 2000,IDHM 2000,Posicao IDHM Renda 2000,IDHM Renda 2000,Posicao IDHM Educacao 2000,IDHM Educacao 2000,Posicao IDHM Longevidade 2000,IDHM Longevidade 2000
SE#SP#Borborema #,1021,0.73,1293,0.71,898,0.658,1603,0.831,985,0.63,877,0.673,1105,0.475,1139,0.784
SE#MG#Borda da Mata #,1021,0.73,1473,0.703,1193,0.64,303,0.865,1275,0.615,772,0.678,1548,0.443,1346,0.776
SE#SP#Borebi #,1756,0.705,2318,0.674,1687,0.615,901,0.846,1995,0.578,2213,0.615,1903,0.414,1908,0.76
S#PR#Borrazópolis #,1398,0.717,1741,0.695,1329,0.633,1281,0.838,1663,0.595,2764,0.588,1242,0.465,1584,0.769
S#RS#Bossoroca #,2134,0.692,2535,0.665,1802,0.608,2112,0.821,1844,0.586,2695,0.592,1602,0.438,1310,0.777
SE#MG#Botelhos #,1842,0.702,1516,0.702,2600,0.568,238,0.868,1525,0.602,266,0.714,2513,0.371,202,0.824
SE#SP#Botucatu #,40,0.8,78,0.79,67,0.746,222,0.869,54,0.718,76,0.748,51,0.62,718,0.797
SE#MG#Botumirim #,4101,0.602,4903,0.54,3658,0.517,3704,0.782,3512,0.479,4879,0.455,3074,0.329,2816,0.732
NE#BA#Botuporã #,4742,0.575,4828,0.543,4614,0.464,4625,0.754,4859,0.393,5460,0.401,4662,0.218,3824,0.692
S#SC#Botuverá #,1191,0.724,580,0.741,1880,0.604,792,0.848,1604,0.598,674,0.684,2342,0.383,275,0.818
S#RS#Bozano #,648,0.745,175,0.773,1433,0.628,610,0.853,1275,0.615,907,0.672,1747,0.427,393,0.811
S#SC#Braço do Norte #,145,0.778,494,0.746,193,0.716,77,0.881,212,0.687,70,0.751,542,0.528,304,0.816
S#SC#Braço do Trombudo #,128,0.78,223,0.766,331,0.702,64,0.883,1093,0.625,1383,0.652,1429,0.452,177,0.827
S#RS#Braga #,2573,0.674,2732,0.656,2707,0.563,1647,0.83,2451,0.553,3308,0.551,1948,0.411,2364,0.747
N#PA#Bragança #,4144,0.6,3796,0.589,4231,0.486,4602,0.755,3812,0.458,3751,0.522,3751,0.278,4341,0.662
SE#SP#Bragança Paulista #,168,0.776,179,0.772,305,0.704,390,0.861,212,0.687,114,0.738,343,0.552,741,0.796
S#PR#Braganey #,1866,0.701,1915,0.689,1457,0.627,3252,0.797,2719,0.537,3423,0.543,2059,0.403,3438,0.707
NE#AL#Branquinha #,5490,0.513,5021,0.534,5490,0.362,5487,0.699,5497,0.311,5131,0.437,5483,0.12,5514,0.574
