Territorialidade,Posicao IDHM 2010,IDHM 2010,Posicao IDHM Renda 2010,IDHM Renda 2010,Posicao IDHM Educacao 2010,IDHM Educacao 2010,Posicao IDHM Longevidade 2010,IDHM Longevidade 2010,Posicao IDHM 2000,IDHM 2000,Posicao IDHM Renda 2000,IDHM Renda 2000,Posicao IDHM Educacao 2000,IDHM Educacao 2000,Posicao IDHM Longevidade 2000,IDHM Longevidade 2000
CO#GO#Abadia de Goiás #,1665,0.708,1967,0.687,1556,0.622,1647,0.83,2180,0.569,2024,0.623,2305,0.386,1727,0.765
SE#MG#Abadia dos Dourados #,2199,0.689,1797,0.693,2707,0.563,1238,0.839,2052,0.575,2192,0.616,2296,0.387,684,0.799
CO#GO#Abadiânia #,2199,0.689,2405,0.671,2352,0.579,1128,0.841,3189,0.503,2573,0.598,3556,0.292,2854,0.73
SE#MG#Abaeté #,1969,0.698,1039,0.72,2866,0.556,792,0.848,1821,0.587,1079,0.664,2317,0.385,858,0.792
N#PA#Abaetetuba #,3519,0.628,3998,0.579,3249,0.537,3214,0.798,3214,0.501,3728,0.523,3200,0.32,2258,0.75
NE#CE#Abaiara #,3519,0.628,4903,0.54,1727,0.612,4794,0.748,3890,0.452,4728,0.464,3670,0.283,3548,0.703
NE#BA#Abaíra #,4081,0.603,4054,0.577,3792,0.51,4860,0.746,3300,0.495,3783,0.52,3109,0.326,3183,0.715
NE#BA#Abaré #,4742,0.575,5037,0.533,4693,0.46,3897,0.776,4407,0.422,4291,0.488,4306,0.24,4713,0.642
S#PR#Abatiá #,2251,0.687,2266,0.676,2035,0.596,2940,0.804,2451,0.553,2996,0.575,2175,0.396,2436,0.744
S#SC#Abdon Batista #,2078,0.694,2647,0.66,1492,0.625,2562,0.812,2031,0.576,2855,0.583,1617,0.437,2258,0.75
N#PA#Abel Figueiredo #,3653,0.622,3247,0.625,4306,0.481,3129,0.8,3119,0.508,2695,0.592,3276,0.313,3378,0.709
S#SC#Abelardo Luz #,2028,0.696,2035,0.684,2377,0.578,643,0.852,1973,0.579,1155,0.661,2513,0.371,896,0.791
SE#MG#Abre Campo #,3030,0.654,2908,0.646,3480,0.525,1987,0.823,2668,0.54,2798,0.586,2670,0.36,2387,0.746
NE#PE#Abreu E Lima #,2462,0.679,3247,0.625,1350,0.632,3475,0.791,2318,0.561,3189,0.56,1562,0.442,3233,0.714
N#TO#Abreulândia #,2776,0.665,1576,0.7,3943,0.502,1419,0.835,3858,0.454,3990,0.506,4013,0.26,3266,0.713
SE#MG#Acaiaca #,3487,0.63,3478,0.61,3988,0.499,1987,0.823,2986,0.518,3151,0.564,2908,0.341,2984,0.724
NE#MA#Açailândia #,2621,0.672,2971,0.643,1921,0.602,3649,0.785,3246,0.498,2913,0.579,3310,0.311,3946,0.685
NE#BA#Acajutiba #,4590,0.582,4451,0.56,4216,0.487,5254,0.723,4407,0.422,4491,0.477,3956,0.264,5402,0.597
N#PA#Acará #,5510,0.506,5271,0.517,5536,0.332,4552,0.757,5320,0.35,4425,0.481,5468,0.125,3233,0.714
NE#CE#Acarape #,3999,0.606,4476,0.559,2729,0.562,5405,0.709,3360,0.49,4349,0.485,2342,0.383,4935,0.632
NE#CE#Acaraú #,4123,0.601,4583,0.554,3658,0.517,4509,0.758,4536,0.415,4384,0.483,4628,0.22,4175,0.671
NE#RN#Acari #,2462,0.679,3120,0.633,1308,0.634,3775,0.779,2393,0.557,3206,0.559,1775,0.425,2888,0.728
NE#PI#Acauã #,5408,0.528,5271,0.517,5260,0.411,5513,0.692,5553,0.274,5564,0.333,5509,0.11,5540,0.562
S#RS#Aceguá #,2251,0.687,1473,0.703,3183,0.541,643,0.852,1150,0.621,1566,0.644,1323,0.459,393,0.811
NE#CE#Acopiara #,4255,0.595,4376,0.563,3658,0.517,5241,0.724,4582,0.412,4103,0.498,4628,0.22,4819,0.637
CO#MT#Acorizal #,3519,0.628,3716,0.594,3792,0.51,2357,0.816,3226,0.5,3267,0.554,3429,0.302,2418,0.745
N#AC#Acrelândia #,4055,0.604,3894,0.584,4588,0.466,2754,0.808,3904,0.451,3138,0.565,4565,0.224,3018,0.723
CO#GO#Acreúna #,2282,0.686,1293,0.71,2924,0.553,2064,0.822,2135,0.571,1057,0.665,2688,0.358,1182,0.783
NE#RN#Açu #,2870,0.661,3000,0.641,2600,0.568,3329,0.795,2731,0.536,3059,0.571,2397,0.379,3323,0.711
SE#MG#Açucena #,3902,0.61,3695,0.595,4821,0.451,986,0.844,4048,0.443,4074,0.501,4481,0.229,2018,0.757
SE#SP#Adamantina #,67,0.79,179,0.772,50,0.75,643,0.852,48,0.721,227,0.718,28,0.644,393,0.811
CO#GO#Adelândia #,1842,0.702,2562,0.664,1556,0.622,1370,0.836,2825,0.529,2870,0.582,2702,0.357,3285,0.712
SE#SP#Adolfo #,1021,0.73,1293,0.71,1050,0.648,986,0.844,384,0.667,1566,0.644,211,0.574,606,0.802
S#PR#Adrianópolis #,2738,0.667,2952,0.644,2707,0.563,2307,0.817,2633,0.542,3495,0.539,2175,0.396,2323,0.748
NE#BA#Adustina #,5253,0.546,5154,0.526,5062,0.432,5321,0.718,5349,0.347,4199,0.492,5373,0.146,5485,0.584
NE#PE#Afogados da Ingazeira #,2964,0.657,3279,0.623,2671,0.565,2805,0.807,2986,0.518,3059,0.571,2983,0.335,2888,0.728
NE#RN#Afonso Bezerra #,4515,0.585,4451,0.56,3943,0.502,5367,0.713,3836,0.456,3955,0.508,3763,0.277,4106,0.675
SE#ES#Afonso Cláudio #,2738,0.667,2626,0.661,3122,0.544,1905,0.825,2451,0.553,2270,0.612,2470,0.374,2578,0.74
NE#MA#Afonso Cunha #,5402,0.529,5530,0.471,5031,0.434,5227,0.725,5393,0.337,5508,0.384,5226,0.168,5412,0.595
NE#PE#Afrânio #,4444,0.588,4855,0.542,4095,0.493,4430,0.761,4960,0.386,4777,0.461,5102,0.182,3910,0.687
N#PA#Afuá #,5543,0.489,5492,0.485,5550,0.311,3987,0.774,5430,0.33,4660,0.468,5514,0.108,3323,0.711
NE#PE#Agrestina #,4331,0.592,3955,0.581,4532,0.47,4452,0.76,4168,0.436,3573,0.534,4353,0.237,4441,0.657
NE#PI#Agricolândia #,4167,0.599,4670,0.55,3458,0.526,4936,0.742,3975,0.447,5249,0.428,3323,0.31,4162,0.672
S#SC#Agrolândia #,1154,0.725,870,0.727,1329,0.633,1798,0.827,1695,0.593,1811,0.633,1667,0.433,1908,0.76
S#SC#Agronômica #,743,0.741,166,0.774,2045,0.595,55,0.884,1525,0.602,997,0.668,2038,0.405,515,0.805
N#PA#Água Azul do Norte #,4965,0.564,4376,0.563,5338,0.399,3252,0.797,5101,0.376,3138,0.565,5401,0.139,4045,0.679
SE#MG#Água Boa #,4718,0.576,3716,0.594,5308,0.403,3167,0.799,3904,0.451,3351,0.548,4337,0.238,3564,0.702
CO#MT#Água Boa #,1052,0.729,961,0.723,1082,0.646,1704,0.829,1503,0.603,227,0.718,1879,0.416,2744,0.735
NE#AL#Água Branca #,5209,0.549,5140,0.527,5062,0.432,5175,0.728,4876,0.392,4815,0.459,4953,0.195,4106,0.675
NE#PB#Água Branca #,4802,0.572,4855,0.542,4259,0.484,5377,0.712,4536,0.415,4698,0.466,4113,0.253,5325,0.606
NE#PI#Água Branca #,3312,0.639,3623,0.6,2578,0.569,4366,0.763,3147,0.506,3824,0.518,2556,0.368,4045,0.679
CO#MS#Água Clara #,2663,0.67,1424,0.705,3634,0.518,1987,0.823,2755,0.534,974,0.669,3518,0.295,1523,0.771
SE#MG#Água Comprida #,2545,0.675,1069,0.719,4007,0.498,425,0.86,1489,0.604,945,0.67,2096,0.401,245,0.82
S#SC#Água Doce #,1969,0.698,937,0.724,2475,0.574,2161,0.82,1041,0.627,584,0.689,1446,0.45,793,0.794
NE#MA#Água Doce do Maranhão #,5531,0.5,5464,0.494,5487,0.363,5499,0.697,5532,0.293,5470,0.4,5513,0.109,5510,0.576
SE#ES#Água Doce do Norte #,3070,0.652,3334,0.619,3078,0.546,2216,0.819,2866,0.527,3255,0.555,2590,0.366,3126,0.719
NE#BA#Água Fria #,5194,0.55,5110,0.529,5173,0.422,4826,0.747,5017,0.382,5269,0.427,4805,0.208,5044,0.627
CO#GO#Água Fria de Goiás #,2642,0.671,2375,0.672,2988,0.55,2307,0.817,3481,0.481,2553,0.599,4151,0.25,2512,0.742
CO#GO#Água Limpa #,1244,0.722,1858,0.691,815,0.663,2112,0.821,1859,0.585,1691,0.639,1903,0.414,1987,0.758
NE#RN#Água Nova #,3771,0.616,5140,0.527,2509,0.572,3897,0.776,4601,0.411,5409,0.409,4013,0.26,4537,0.652
NE#PE#Água Preta #,5157,0.553,5310,0.514,5062,0.432,4430,0.761,4936,0.388,4794,0.46,5028,0.188,4082,0.677
S#RS#Água Santa #,551,0.75,18,0.84,2157,0.59,722,0.85,985,0.63,1545,0.645,1302,0.461,66,0.841
SE#SP#Aguaí #,1454,0.715,1473,0.703,1835,0.606,473,0.858,752,0.642,471,0.697,1134,0.473,635,0.801
SE#MG#Aguanil #,2828,0.663,2375,0.672,3737,0.513,943,0.845,2067,0.574,1733,0.637,2487,0.373,700,0.798
NE#PE#Águas Belas #,5426,0.526,4757,0.546,5411,0.385,5516,0.691,5270,0.358,4951,0.45,5152,0.176,5500,0.578
SE#SP#Águas da Prata #,119,0.781,415,0.75,193,0.716,22,0.886,172,0.692,266,0.714,206,0.575,472,0.807
S#SC#Águas de Chapecó #,1514,0.713,1248,0.712,1416,0.629,2611,0.811,1916,0.582,907,0.672,2461,0.375,1206,0.782
SE#SP#Águas de Lindóia #,648,0.745,918,0.725,648,0.675,901,0.846,154,0.695,100,0.741,447,0.539,57,0.842
SE#SP#Águas de Santa Bárbara #,420,0.757,532,0.744,416,0.695,1183,0.84,374,0.668,471,0.697,645,0.515,132,0.831
SE#SP#Águas de São Pedro #,2,0.854,12,0.849,1,0.825,11,0.89,2,0.791,1,0.867,14,0.657,2,0.87
SE#MG#Águas Formosas #,3201,0.645,3261,0.624,3368,0.531,2611,0.811,3119,0.508,3530,0.537,2870,0.344,3323,0.711
S#SC#Águas Frias #,648,0.745,848,0.728,849,0.661,425,0.86,1570,0.6,1100,0.663,1798,0.423,1584,0.769
CO#GO#Águas Lindas de Goiás #,2282,0.686,2883,0.647,2185,0.588,792,0.848,3262,0.497,2855,0.583,3763,0.277,1812,0.762
S#SC#Águas Mornas #,1217,0.723,805,0.731,1835,0.606,610,0.853,2160,0.57,2047,0.622,2556,0.368,430,0.809
SE#MG#Águas Vermelhas #,4123,0.601,3853,0.586,4724,0.458,2754,0.808,3686,0.466,3936,0.509,3670,0.283,3564,0.702
S#RS#Agudo #,2078,0.694,375,0.752,3502,0.524,846,0.847,1695,0.593,737,0.68,2358,0.382,563,0.803
SE#SP#Agudos #,648,0.745,1424,0.705,431,0.694,943,0.845,356,0.669,858,0.674,220,0.573,1310,0.777
S#PR#Agudos do Sul #,2898,0.66,2405,0.671,3137,0.543,3511,0.79,3064,0.513,2840,0.584,3074,0.329,3532,0.704
SE#ES#Águia Branca #,2481,0.678,2647,0.66,2045,0.595,3428,0.792,2683,0.539,2533,0.6,2429,0.377,3824,0.692
NE#PB#Aguiar #,4215,0.597,3140,0.632,4874,0.447,4661,0.753,4876,0.392,5240,0.429,4529,0.226,5148,0.619
N#TO#Aguiarnópolis #,2964,0.657,3354,0.618,2531,0.571,2940,0.804,3686,0.466,3884,0.513,3487,0.297,4261,0.666
SE#MG#Aimorés #,2332,0.684,2020,0.685,2427,0.576,2661,0.81,1695,0.593,2325,0.609,1617,0.437,1182,0.783
NE#BA#Aiquara #,4562,0.583,4137,0.573,4502,0.471,5094,0.733,4168,0.436,4004,0.505,3999,0.261,5034,0.628
NE#CE#Aiuaba #,4869,0.569,5259,0.518,4447,0.474,4770,0.749,5207,0.365,5446,0.404,4938,0.196,5229,0.616
SE#MG#Aiuruoca #,2716,0.668,2230,0.677,3883,0.505,181,0.871,2497,0.55,1500,0.647,3099,0.327,1031,0.787
S#RS#Ajuricaba #,488,0.753,252,0.763,898,0.658,722,0.85,682,0.646,1359,0.653,664,0.513,541,0.804
SE#MG#Alagoa #,3136,0.649,3109,0.634,3634,0.518,1560,0.832,2633,0.542,3043,0.572,2688,0.358,1346,0.776
NE#PB#Alagoa Grande #,4590,0.582,4073,0.576,5083,0.43,3252,0.797,4337,0.426,4017,0.504,4565,0.224,3962,0.684
NE#PB#Alagoa Nova #,4718,0.576,4268,0.567,4821,0.451,4770,0.749,4917,0.389,4332,0.486,5008,0.19,4819,0.637
NE#PB#Alagoinha #,4255,0.595,4116,0.574,4646,0.462,3329,0.795,4601,0.411,4349,0.485,4685,0.216,4341,0.662
NE#PE#Alagoinha #,4167,0.599,4226,0.569,4487,0.472,3077,0.801,3824,0.457,4091,0.499,3701,0.281,4026,0.68
NE#PI#Alagoinha do Piauí #,5390,0.531,5008,0.535,5384,0.391,5339,0.716,5184,0.368,3841,0.516,5308,0.156,5139,0.62
NE#BA#Alagoinhas #,2359,0.683,2119,0.681,2111,0.592,3511,0.79,2497,0.55,2253,0.613,2048,0.404,4162,0.672
SE#SP#Alambari #,1546,0.712,2090,0.682,898,0.658,2899,0.805,2111,0.572,1667,0.64,2272,0.389,2186,0.752
SE#MG#Albertina #,2598,0.673,2035,0.684,3011,0.549,2504,0.813,2563,0.546,1733,0.637,3137,0.324,924,0.79
NE#MA#Alcântara #,4786,0.573,5172,0.525,4430,0.475,4661,0.753,4684,0.405,5198,0.433,4241,0.244,5044,0.627
NE#CE#Alcântaras #,4144,0.6,4698,0.549,3502,0.524,4732,0.751,4407,0.422,4858,0.456,3988,0.262,4992,0.63
NE#PB#Alcantil #,4670,0.578,4670,0.55,4724,0.458,4304,0.765,4637,0.408,4858,0.456,4337,0.238,5090,0.625
CO#MS#Alcinópolis #,1574,0.711,765,0.733,2509,0.572,473,0.858,2731,0.536,544,0.692,3617,0.287,1402,0.775
NE#BA#Alcobaça #,3957,0.608,3465,0.611,4409,0.476,4100,0.771,3877,0.453,3423,0.543,3858,0.271,4958,0.631
NE#MA#Aldeias Altas #,5490,0.513,5432,0.5,5459,0.374,5291,0.72,5328,0.349,5299,0.424,5192,0.172,5485,0.584
S#RS#Alecrim #,2621,0.672,2061,0.683,3549,0.522,643,0.852,2529,0.548,2973,0.576,2572,0.367,1310,0.777
SE#ES#Alegre #,1266,0.721,1346,0.708,1395,0.63,1238,0.839,1256,0.616,1691,0.639,1208,0.467,1139,0.784
S#RS#Alegrete #,764,0.74,1039,0.72,802,0.664,759,0.849,777,0.641,835,0.675,727,0.507,1562,0.77
NE#PI#Alegrete do Piauí #,4515,0.585,4351,0.564,4430,0.475,4770,0.749,4258,0.431,3708,0.525,4415,0.233,4508,0.654
S#RS#Alegria #,2059,0.695,1111,0.717,2509,0.572,2259,0.818,1995,0.578,2870,0.582,1798,0.423,1074,0.786
SE#MG#Além Paraíba #,1133,0.726,1217,0.713,1473,0.626,501,0.857,637,0.65,584,0.689,581,0.524,1948,0.759
N#PA#Alenquer #,4965,0.564,5110,0.529,4999,0.436,3775,0.779,4220,0.433,4332,0.486,4371,0.236,3438,0.707
NE#RN#Alexandria #,3999,0.606,3955,0.581,4143,0.491,3775,0.779,3678,0.467,4457,0.479,3439,0.301,3479,0.706
CO#GO#Alexânia #,2386,0.682,2562,0.664,2600,0.568,1128,0.841,2963,0.52,2533,0.6,3223,0.318,2744,0.735
SE#MG#Alfenas #,350,0.761,665,0.737,223,0.712,1128,0.841,302,0.675,214,0.72,549,0.527,430,0.809
SE#ES#Alfredo Chaves #,1595,0.71,1473,0.703,1744,0.611,1560,0.832,1489,0.604,2008,0.624,1355,0.457,1492,0.772
SE#SP#Alfredo Marcondes #,743,0.741,2090,0.682,239,0.71,1183,0.84,682,0.646,1545,0.645,549,0.527,793,0.794
SE#MG#Alfredo Vasconcelos #,2545,0.675,3190,0.629,2210,0.587,1464,0.834,2085,0.573,3043,0.572,1667,0.433,1987,0.758
S#SC#Alfredo Wagner #,2716,0.668,1516,0.702,4306,0.481,70,0.882,2529,0.548,924,0.671,3556,0.292,75,0.84
NE#PB#Algodão de Jandaíra #,5225,0.548,5062,0.532,5246,0.413,4770,0.749,5491,0.313,5180,0.434,5497,0.115,5261,0.612
NE#PB#Alhandra #,4590,0.582,4804,0.544,4599,0.465,3831,0.778,4536,0.415,4265,0.489,4481,0.229,4759,0.64
NE#PE#Aliança #,4055,0.604,4322,0.565,4201,0.488,3167,0.799,4258,0.431,4560,0.473,4151,0.25,4093,0.676
N#TO#Aliança do Tocantins #,2828,0.663,3478,0.61,2035,0.596,3077,0.801,2597,0.544,3243,0.556,2023,0.406,3183,0.715
NE#BA#Almadina #,4984,0.563,4376,0.563,5180,0.421,4732,0.751,4684,0.405,4312,0.487,4820,0.207,4441,0.657
N#TO#Almas #,3378,0.636,3386,0.616,3502,0.524,3292,0.796,4452,0.42,3600,0.532,4741,0.212,4441,0.657
N#PA#Almeirim #,3254,0.642,2667,0.659,4026,0.497,2696,0.809,2880,0.526,1180,0.66,3450,0.3,2795,0.733
SE#MG#Almenara #,3254,0.642,3079,0.636,3634,0.518,2990,0.803,2825,0.529,2573,0.598,2822,0.349,3323,0.711
NE#RN#Almino Afonso #,3607,0.624,4023,0.578,2600,0.568,4989,0.739,3325,0.493,4222,0.491,2737,0.355,3910,0.687
S#PR#Almirante Tamandaré #,1934,0.699,1405,0.706,2457,0.575,1183,0.84,1903,0.583,1893,0.629,2010,0.407,1458,0.773
S#RS#Almirante Tamandaré do Sul #,764,0.74,784,0.732,731,0.669,1747,0.828,1545,0.601,1853,0.631,1490,0.447,1584,0.769
CO#GO#Aloândia #,1995,0.697,1768,0.694,2245,0.585,1464,0.834,1821,0.587,997,0.668,2110,0.4,2064,0.756
SE#MG#Alpercata #,3186,0.646,3190,0.629,3571,0.521,1951,0.824,2518,0.549,2903,0.58,2376,0.381,2364,0.747
S#RS#Alpestre #,2642,0.671,1576,0.7,3137,0.543,3329,0.795,2902,0.524,3151,0.564,3032,0.332,1584,0.769
SE#MG#Alpinópolis #,1154,0.725,1473,0.703,1416,0.629,372,0.862,933,0.633,1297,0.655,1080,0.477,411,0.81
CO#MT#Alta Floresta #,1486,0.714,1318,0.709,1416,0.629,2307,0.817,1859,0.585,924,0.671,2154,0.397,2140,0.753
N#RO#Alta Floresta D'Oeste #,3275,0.641,2709,0.657,3458,0.526,4366,0.763,3452,0.483,2163,0.617,3988,0.262,3663,0.698
SE#SP#Altair #,2251,0.687,1649,0.698,2322,0.581,3129,0.8,1472,0.605,1582,0.643,1036,0.48,3174,0.716
N#PA#Altamira #,2776,0.665,2613,0.662,3029,0.548,2611,0.811,2755,0.534,1893,0.629,3165,0.322,2186,0.752
NE#MA#Altamira do Maranhão #,5209,0.549,5487,0.486,4463,0.473,5306,0.719,4986,0.384,4829,0.458,4758,0.211,5462,0.587
S#PR#Altamira do Paraná #,2738,0.667,2490,0.667,2531,0.571,3751,0.78,3279,0.496,3224,0.558,3360,0.308,3378,0.709
NE#CE#Altaneira #,4101,0.602,4740,0.547,3696,0.515,3987,0.774,4504,0.417,4236,0.49,4498,0.228,4642,0.647
SE#MG#Alterosa #,2716,0.668,2709,0.657,3270,0.536,846,0.847,2245,0.565,2088,0.62,2305,0.386,2107,0.754
NE#PE#Altinho #,4198,0.598,4476,0.559,4284,0.482,3428,0.792,4029,0.444,4236,0.49,3956,0.264,4093,0.676
SE#SP#Altinópolis #,1021,0.73,897,0.726,1295,0.635,1032,0.843,516,0.658,140,0.734,1052,0.479,430,0.809
N#RR#Alto Alegre #,5293,0.542,5259,0.518,5436,0.379,2504,0.813,3771,0.46,4478,0.478,3571,0.291,3663,0.698
S#RS#Alto Alegre #,599,0.747,321,0.756,1157,0.642,451,0.859,461,0.662,1630,0.641,434,0.541,94,0.836
SE#SP#Alto Alegre #,1904,0.7,2061,0.683,1670,0.616,2307,0.817,1256,0.616,1839,0.632,1158,0.471,1031,0.787
NE#MA#Alto Alegre do Maranhão #,5146,0.554,5284,0.516,4909,0.444,4893,0.744,5424,0.331,4994,0.447,5429,0.134,5357,0.603
NE#MA#Alto Alegre do Pindaré #,5081,0.558,5539,0.465,4272,0.483,3987,0.774,5398,0.336,5163,0.435,5408,0.137,4819,0.637
N#RO#Alto Alegre dos Parecis #,4331,0.592,3576,0.603,4920,0.443,3871,0.777,4725,0.402,3573,0.534,5138,0.178,4011,0.681
CO#MT#Alto Araguaia #,1776,0.704,1248,0.712,1727,0.612,3026,0.802,1903,0.583,1437,0.65,2059,0.403,2086,0.755
S#SC#Alto Bela Vista #,453,0.755,739,0.734,802,0.664,70,0.882,1196,0.619,1989,0.625,1036,0.48,960,0.789
CO#MT#Alto Boa Vista #,3090,0.651,3437,0.613,2757,0.561,2990,0.803,3279,0.496,2855,0.583,3450,0.3,3731,0.696
SE#MG#Alto Caparaó #,2870,0.661,2513,0.666,3716,0.514,1075,0.842,2160,0.57,569,0.69,2884,0.343,1139,0.784
NE#RN#Alto do Rodrigues #,2621,0.672,2883,0.647,2245,0.585,3129,0.8,3064,0.513,2935,0.578,3074,0.329,3323,0.711
S#RS#Alto Feliz #,920,0.734,596,0.74,1904,0.603,22,0.886,797,0.64,1100,0.663,1197,0.468,46,0.845
CO#MT#Alto Garças #,1866,0.701,1372,0.707,2293,0.583,1419,0.835,1069,0.626,180,0.725,1747,0.427,858,0.792
CO#GO#Alto Horizonte #,1331,0.719,1318,0.709,1517,0.624,1128,0.841,2393,0.557,2819,0.585,2513,0.371,773,0.795
SE#MG#Alto Jequitibá #,2898,0.66,2647,0.66,2908,0.554,3594,0.787,2111,0.572,2286,0.611,2124,0.399,1689,0.766
NE#PI#Alto Longá #,4515,0.585,4268,0.567,4532,0.47,4732,0.751,5193,0.367,5148,0.436,5186,0.173,4470,0.656
CO#MT#Alto Paraguai #,3333,0.638,3454,0.612,3183,0.541,3670,0.784,3133,0.507,3224,0.558,2921,0.34,3897,0.688
S#PR#Alto Paraíso #,2481,0.678,2230,0.677,2866,0.556,1704,0.829,2809,0.53,3083,0.57,2805,0.35,2323,0.748
N#RO#Alto Paraíso #,3587,0.625,2562,0.664,4733,0.457,2940,0.804,3990,0.446,1455,0.649,4927,0.197,3802,0.693
CO#GO#Alto Paraíso de Goiás #,1514,0.713,961,0.723,1744,0.611,2216,0.819,2111,0.572,1667,0.64,2513,0.371,1031,0.787
S#PR#Alto Paraná #,2028,0.696,2182,0.679,2210,0.587,901,0.846,1429,0.607,1989,0.625,1105,0.475,2186,0.752
NE#MA#Alto Parnaíba #,3433,0.633,2061,0.683,4447,0.474,3649,0.785,4184,0.435,4017,0.504,4403,0.234,3639,0.699
S#PR#Alto Piquiri #,2524,0.676,2448,0.669,2377,0.578,3214,0.798,1821,0.587,1359,0.653,1887,0.415,2364,0.747
SE#MG#Alto Rio Doce #,3702,0.62,3695,0.595,4272,0.483,1747,0.828,3325,0.493,3364,0.547,3571,0.291,2186,0.752
SE#ES#Alto Rio Novo #,2802,0.664,3109,0.634,2633,0.567,2407,0.815,2263,0.564,2447,0.604,1926,0.413,3126,0.719
NE#CE#Alto Santo #,4123,0.601,4376,0.563,3988,0.499,3987,0.774,4137,0.438,3990,0.506,4481,0.229,2914,0.727
CO#MT#Alto Taquari #,1756,0.705,692,0.736,2531,0.571,1515,0.833,908,0.634,53,0.757,1775,0.425,858,0.792
S#PR#Altônia #,1266,0.721,1890,0.69,1176,0.641,792,0.848,1373,0.61,2213,0.615,920,0.49,2140,0.753
NE#PI#Altos #,3820,0.614,3779,0.59,3753,0.512,4245,0.767,4371,0.424,4312,0.487,4415,0.233,4162,0.672
SE#SP#Alumínio #,274,0.766,832,0.729,114,0.732,1128,0.841,252,0.682,529,0.693,88,0.603,1987,0.758
N#AM#Alvarães #,5416,0.527,5434,0.499,5446,0.377,3831,0.778,5128,0.373,4017,0.504,5332,0.153,4137,0.673
SE#MG#Alvarenga #,4331,0.592,3796,0.589,4948,0.441,3214,0.798,3462,0.482,3627,0.53,3439,0.301,3599,0.701
SE#SP#Álvares Florence #,1081,0.728,1547,0.701,548,0.683,2849,0.806,408,0.665,1100,0.663,199,0.576,1562,0.77
SE#SP#Álvares Machado #,400,0.758,1248,0.712,114,0.732,1464,0.834,476,0.661,974,0.669,400,0.546,960,0.789
SE#SP#Álvaro de Carvalho #,2224,0.688,2448,0.669,1857,0.605,2899,0.805,2338,0.56,2953,0.577,1815,0.422,3018,0.723
SE#SP#Alvinlândia #,1244,0.722,1008,0.721,883,0.659,3475,0.791,2419,0.555,2235,0.614,2572,0.367,1908,0.76
SE#MG#Alvinópolis #,2524,0.676,2822,0.651,2399,0.577,2064,0.822,2067,0.574,2662,0.594,1725,0.429,2512,0.742
S#RS#Alvorada #,1934,0.699,1768,0.694,2690,0.564,135,0.874,1916,0.582,1667,0.64,2358,0.382,515,0.805
N#TO#Alvorada #,1665,0.708,2230,0.677,1535,0.623,1032,0.843,1995,0.578,1297,0.655,2010,0.407,2953,0.725
SE#MG#Alvorada de Minas #,4802,0.572,4201,0.57,5238,0.414,3362,0.794,4199,0.434,3627,0.53,4805,0.208,2466,0.743
NE#PI#Alvorada do Gurguéia #,4670,0.578,5235,0.52,4047,0.496,4770,0.749,4713,0.403,4678,0.467,4498,0.228,5229,0.616
CO#GO#Alvorada do Norte #,2898,0.66,3021,0.64,3029,0.548,2216,0.819,2771,0.533,2778,0.587,2572,0.367,3564,0.702
S#PR#Alvorada do Sul #,1665,0.708,1741,0.695,1649,0.617,1846,0.826,682,0.646,1748,0.636,279,0.561,2018,0.757
N#RO#Alvorada D'Oeste #,3234,0.643,2767,0.654,3300,0.534,4366,0.763,3651,0.469,2695,0.592,3999,0.261,4208,0.669
N#RR#Amajari #,5550,0.484,5561,0.437,5543,0.319,2407,0.815,4452,0.42,4091,0.499,4741,0.212,3663,0.698
CO#MS#Amambai #,2598,0.673,2061,0.683,3078,0.546,2259,0.818,2031,0.576,1455,0.649,2332,0.384,1652,0.767
N#AP#Amapá #,3254,0.642,3155,0.631,3348,0.532,3511,0.79,3246,0.498,3120,0.567,3465,0.299,2888,0.728
NE#MA#Amapá do Maranhão #,5458,0.52,5401,0.503,5287,0.406,5527,0.688,5444,0.327,4994,0.447,5423,0.135,5502,0.577
S#PR#Amaporã #,2691,0.669,2952,0.644,2133,0.591,3649,0.785,1716,0.592,2305,0.61,971,0.486,3624,0.7
NE#PE#Amaraji #,4638,0.58,4089,0.575,4774,0.454,4794,0.748,4392,0.423,4444,0.48,4469,0.23,3897,0.688
S#RS#Amaral Ferrador #,3607,0.624,2562,0.664,4733,0.457,3026,0.802,3133,0.507,2148,0.618,3819,0.274,1523,0.771
CO#GO#Amaralina #,3927,0.609,4226,0.569,4183,0.489,2504,0.813,3437,0.484,3224,0.558,3874,0.27,2211,0.751
NE#PI#Amarante #,4198,0.598,4116,0.574,4026,0.497,4758,0.75,3771,0.46,4515,0.476,3540,0.293,3624,0.7
NE#MA#Amarante do Maranhão #,5128,0.555,4876,0.541,4948,0.441,5339,0.716,5116,0.374,5232,0.43,4895,0.2,5288,0.609
NE#BA#Amargosa #,3587,0.625,3386,0.616,4116,0.492,2805,0.807,3398,0.487,3286,0.552,3263,0.314,4261,0.666
N#AM#Amaturá #,5049,0.56,5434,0.499,4758,0.455,4028,0.773,4564,0.413,5148,0.436,4415,0.233,3780,0.694
NE#BA#Amélia Rodrigues #,2759,0.666,3492,0.609,1957,0.6,2661,0.81,3064,0.513,3286,0.552,2628,0.363,4137,0.673
NE#BA#América Dourada #,5027,0.561,5380,0.506,4614,0.464,4732,0.751,4892,0.391,4907,0.453,4731,0.213,5179,0.618
